Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Cause_of_accident,Accident_severity,Accident_Hour,Time_Period,High_Risk_Weather,Vehicles_Category,Casualties_Category
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (11?40Q),Owner,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1.0,Going straight,Driver or rider,Female,31-50,3,Changing lane to the left,Serious Injury,18,Evening,0,Medium,Low
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,1-2yr,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1.0,Going straight,Driver or rider,Male,18-30,2,Overturning,Serious Injury,18,Evening,0,Medium,Low
Sunday,Over 51,Male,Above high school,Owner,2-5yr,Pick up upto 10Q,Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2.0,Going straight,na,na,na,na,Driving carelessly,Slight Injury,15,Afternoon,0,Medium,Low
Sunday,Over 51,Male,Junior high school,Unknown,5-10yr,Lorry (11?40Q),Owner,Unknown,Unkown,Office areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Turnover,Pedestrian,Female,Under 18,3,No distancing,Slight Injury,15,Afternoon,0,Medium,Low
Wednesday,Over 51,Unknown,Elementary school,Owner,2-5yr,Stationwagen,Owner,Unknown,No defect,Office areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,3.0,Going straight,Driver or rider,Female,18-30,3,Driving carelessly,Slight Injury,23,Night,0,Medium,Medium
Wednesday,Over 51,Male,Junior high school,Employee,1-2yr,Other,Owner,Unknown,Unkown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3.0,Going straight,na,na,na,na,Changing lane to the left,Slight Injury,23,Night,0,Medium,Medium
Wednesday,31-50,Male,Junior high school,Owner,5-10yr,Other,Owner,5-10yrs,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3.0,Reversing,na,na,na,na,No priority to vehicle,Slight Injury,23,Night,0,Medium,Medium
Monday,18-30,Unknown,Junior high school,Employee,Below 1yr,Lorry (11?40Q),Owner,5-10yrs,Unkown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Female,31-50,3,Changing lane to the right,Serious Injury,7,Morning,0,Medium,Low
Monday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,Unkown,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,No distancing,Serious Injury,7,Morning,0,Medium,Low
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Reversing,Driver or rider,Male,18-30,3,Moving Backward,Fatal injury,15,Afternoon,0,Medium,Low
Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Company,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,31-50,3,Moving Backward,Fatal injury,15,Afternoon,0,Medium,Low
Monday,18-30,Male,Elementary school,Employee,2-5yr,Other,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Moving Backward,na,na,na,na,No distancing,Slight Injury,15,Afternoon,0,Medium,Low
Monday,18-30,Male,Elementary school,Owner,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Moving Backward,na,na,na,na,No distancing,Slight Injury,15,Afternoon,0,Medium,Low
Sunday,Over 51,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,Unkown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,Driver or rider,Male,18-30,3,No distancing,Slight Injury,9,Morning,0,Medium,Low
Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Governmental,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,No priority to pedestrian,Slight Injury,9,Morning,0,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Driving carelessly,Slight Injury,17,Evening,0,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Slight Injury,17,Evening,0,Medium,Low
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Female,18-30,3,Changing lane to the left,Slight Injury,17,Evening,0,Medium,Low
Sunday,18-30,Unknown,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,Unkown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1.0,Going straight,Driver or rider,Male,31-50,2,Driving carelessly,Slight Injury,20,Evening,0,Medium,Low
Sunday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,5-10yrs,Unkown, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Female,Over 51,3,Driving carelessly,Slight Injury,20,Evening,0,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,Unknown,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Driver or rider,Female,31-50,3,No distancing,Slight Injury,21,Night,0,Medium,Low
Thursday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Unknown,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2.0,Going straight,na,na,na,na,Other,Slight Injury,21,Night,0,Medium,Low
Monday,18-30,Male,Junior high school,Employee,5-10yr,Long lorry,Owner,Unknown,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Slight Injury,19,Evening,0,Medium,Low
Monday,18-30,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Unknown,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,31-50,3,Changing lane to the right,Slight Injury,19,Evening,0,Medium,Low
Monday,18-30,Male,Elementary school,Employee,5-10yr,Public (12 seats),Owner,Unknown,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Parked,Driver or rider,Male,18-30,2,No distancing,Slight Injury,16,Afternoon,0,Medium,Low
Monday,Over 51,Male,Junior high school,Employee,5-10yr,Other,Governmental,2-5yrs,Unkown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,na,na,na,na,No distancing,Slight Injury,16,Afternoon,0,Medium,Low
Monday,31-50,Unknown,Junior high school,Employee,Above 10yr,Other,Owner,Below 1yr,Unkown, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,2,Overturning,Slight Injury,15,Afternoon,0,Medium,Low
Thursday,Under 18,Male,Junior high school,Employee,5-10yr,Other,Company,Unknown,Unkown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3.5,Going straight,na,na,na,na,Driving at high speed,Serious Injury,23,Night,0,Medium,Medium
Thursday,Under 18,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Unknown,Unkown,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3.5,Going straight,Driver or rider,Male,31-50,2,No priority to vehicle,Serious Injury,23,Night,0,Medium,Medium
Thursday,Under 18,Male,Elementary school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3.5,Going straight,na,na,na,na,No priority to pedestrian,Serious Injury,23,Night,0,Medium,Medium
Thursday,Under 18,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,Unkown,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,3.5,Going straight,na,na,na,na,No priority to vehicle,Serious Injury,23,Night,0,Medium,Medium
Monday,Over 51,Male,Elementary school,Employee,1-2yr,Public (12 seats),Owner,Unknown,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,2,1.0,Turnover,na,na,na,na,Other,Slight Injury,20,Evening,0,Medium,Low
Monday,31-50,Unknown,Elementary school,Employee,5-10yr,Other,Governmental,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,3,Other,Slight Injury,20,Evening,0,Medium,Low
Monday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (11?40Q),Owner,Unknown,No defect,Office areas,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights unlit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Moving Backward,Slight Injury,20,Evening,0,Medium,Low
Friday,18-30,Male,Elementary school,Employee,2-5yr,Other,Owner,2-5yrs,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1.0,Unknown,na,na,na,na,No distancing,Slight Injury,17,Evening,0,Medium,Low
Friday,31-50,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,Unkown, Church areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Moving Backward,Driver or rider,Female,18-30,3,Moving Backward,Slight Injury,17,Evening,0,Medium,Low
Monday,31-50,Unknown,Junior high school,Unknown,5-10yr,Other,Owner,Above 10yr,Unkown, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Passenger,Female,Under 18,3,No priority to vehicle,Slight Injury,18,Evening,0,Medium,Low
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Unknown,No defect,  Recreational areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Moving Backward,Driver or rider,Male,18-30,3,Driving carelessly,Slight Injury,17,Evening,0,Medium,Low
Saturday,Unknown,Female,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,  Market areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3.0,Turnover,na,na,na,na,No distancing,Slight Injury,1,Night,0,Medium,Medium
Saturday,18-30,Unknown,Elementary school,Employee,Below 1yr,Other,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3.0,Going straight,na,na,na,na,Other,Slight Injury,1,Night,0,Medium,Medium
Saturday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3.0,Going straight,Driver or rider,Male,18-30,3,Changing lane to the right,Slight Injury,1,Night,0,Medium,Medium
Saturday,18-30,Male,Elementary school,Owner,5-10yr,Public (13?45 seats),Owner,Unknown,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3.0,Unknown,na,na,na,na,No distancing,Slight Injury,1,Night,0,Medium,Medium
Wednesday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Governmental,2-5yrs,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1.0,Going straight,Driver or rider,Male,18-30,3,Driving carelessly,Slight Injury,18,Evening,1,Medium,Low
Wednesday,18-30,Male,Elementary school,Employee,Above 10yr,Pick up upto 10Q,Governmental,Unknown,Unkown,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,No distancing,Slight Injury,18,Evening,1,Medium,Low
Friday,18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,Unkown,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Female,Over 51,3,No priority to vehicle,Slight Injury,15,Afternoon,0,Medium,Low
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Unknown,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Slight Injury,15,Afternoon,0,Medium,Low
Friday,18-30,Male,Junior high school,Employee,Below 1yr,Other,Owner,Unknown,Unkown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Reversing,Driver or rider,Male,18-30,2,No priority to pedestrian,Slight Injury,15,Afternoon,0,Medium,Low
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Organization,Unknown,Unkown,Other,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,Passenger,Female,18-30,3,No priority to vehicle,Serious Injury,12,Afternoon,0,Medium,Low
Monday,Under 18,Unknown,Elementary school,Employee,5-10yr,Pick up upto 10Q,Governmental,2-5yrs,Unkown,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Female,Over 51,3,Changing lane to the left,Slight Injury,8,Morning,0,Medium,Low
Monday,Over 51,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Turnover,Slight Injury,8,Morning,0,Medium,Low
Saturday,31-50,Male,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,Above 10yr,Unkown,Other,other,Tangent road with flat terrain,No junction,Other,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Turnover,Pedestrian,Male,Under 18,3,Driving to the left,Slight Injury,17,Evening,0,Medium,Low
